emp_id;emp_sup_id;emp_pos_id;emp_nom;emp_prenom;emp_addresse;emp_codepostal;emp_ville;emp_mail;emp_tel;emp_salaire;emp_d_entree;emp_sexe;emp_nbenf
1;17;34;MOLETTE;Denis;27 avenue Paul Lepoulpe;80000;Amiens;dmolette@blabla.fr;0102030405;18473.00;2020-05-05;M;8
2;3;2;NAGER;Emma;14 rue Tabaga;80300;Albert;emmanager@laposte.net;0102030405;39576.00;2015-03-27;F;0
3;NULL;1;LEBOSSE;Hugo;28 mail Ludovic Cruchot;75001;Paris;leboss@jarditou.com;0102030405;350000.78;2000-01-01;M;2
4;17;6;LAPAGE;Edith;22 rue Stevy Boulay;60300;Senlis;lapage60300@yahoo.fr;0102030405;18473.00;2012-12-01;F;1
5;3;35;DRESSAMERE;Yvan;224 avenue Caumartin;75009;Paris;yvan75009@outlook.com;0102030405;39576.00;2007-11-04;M;0
6;5;3;MERCE;Coco;56 cours Loana;02000;Laon;merce@wazaa.net;0102030405;30000.00;2010-07-31;F;2
7;2;3;AMAR;Yann;4 rue du papillon de lumière;62000;Arras;amar@azerty.com;0102030405;30000.00;2008-05-28;M;3
8;14;13;ASAP;Liliane;Appartement 202-3846 Suspendisse Chemin;FA46 ;Pekanbaru;convallis@Integer.com;0102030405;18473.00;2007-03-20;F;5
9;17;34;LAVISSE;Edouard;131-3667 Arcu. Rd.;80136;Rivery;nulla.magna@Proinvel.co.uk;0102030405;24000.00;2016-12-17;M;2
10;17;14;HILLARY;Dorian;6824 Placerat. Route;12787;Parramatta;mus@Morbi.co.uk;0102030405;20450.00;2002-03-10;M;2
11;26;27;POUTIN;Vladimir;251-633 Convallis Impasse;8373 ;Colchester;facilisis.vitae.orci@indolor.net;0102030405;29500.00;2015-05-03;M;4
12;17;7;DECLAN;Richard;Appartement 870-7677 Magna Av.;42980;Dornbirn;Mauris@amet.ca;0102030405;51802.00;2003-06-25;M;2
13;47;14;ABRAHAM;François;612-4178 Urna Chemin;87784;Llanidloes;sodales@malesuadaInteger.com;0102030405;20450.00;2012-09-08;M;5
14;22;4;COOPER;Dale;6954 Mauris Av.;17543;Kalyan;Nunc.ullamcorper.velit@penatibuset.org;0102030405;39576.00;2000-01-21;M;4
15;17;8;FULLER;Christophe;977-8389 Dui. Ave;9229;Konstanz;semper@metus.edu;0102030405;18473.00;2006-02-19;M;1
16;7;17;TRON;Paul;2323 Metus. Rue;20403;Jumet;eu@gravidamauris.org;0102030405;51802.00;2013-04-08;M;1
17;47;14;HASZIC;Alec;370-2193 Sed Rd.;39132;Orangeville;cursus.Nunc@amet.edu;0102030405;20450.00;2006-09-15;M;4
18;17;10;VADENT;Sophie;CP 131, 8783 Nisi Impasse;26972;Burnaby;a@vitaepurusgravida.org;0102030405;51802.00;2014-06-26;F;2
19;47;14;BALZAC;Jérémy;CP 630, 2906 Mollis Route;0247;Colchester;penatibus.et@sempertellusid.net;0102030405;20450.00;2009-07-29;M;3
20;17;14;YETTA;Ahmed;228-2670 Luctus. Route;85726;Havillers;non@ac.edu;0102030405;20450.00;2008-03-13;M;0
21;14;3;CHERET;Philippe;443 Non Rue;58015;Dolcedo;placerat.augue.Sed@mi.net;0102030405;30000.00;2002-06-30;M;2
