Identifiant Client;Nom Client;Prenom Client;Identifiant commercial référent;Nom Commercial;Prénom Commercial
24;Albert;Diego;6;MERCE;Coco
5;Andre;Maëlle;6;MERCE;Coco
65;Bailly;Julien;6;MERCE;Coco
52;Bailly;Léo;6;MERCE;Coco
2;Bailly;Lilou;7;AMAR;Yann
37;Blanc;Sarah;89;KEANE;Ashton
50;Blanchard;Adam;6;MERCE;Coco
15;Blanchard;Émilie;7;AMAR;Yann
91;Bon;Jean;7;AMAR;Yann
93;Boucher;Dorian;21;CHERET;Philippe
10;Boucher;Noë;7;AMAR;Yann
92;Boulanger;Mathis;6;MERCE;Coco
49;Bouvier;Clara;89;KEANE;Ashton
85;Bouvier;Léonie;7;AMAR;Yann
94;Bouvier;Marion;89;KEANE;Ashton
28;Caron;Cédric;6;MERCE;Coco
54;Caron;Martin;6;MERCE;Coco
42;Carpentier;Maïwenn;21;CHERET;Philippe
59;Charpentier;Lucie;21;CHERET;Philippe
66;Chevalier;Gaspard;7;AMAR;Yann
81;Clement;Lucas;89;KEANE;Ashton
60;Colin;Yanis;6;MERCE;Coco
87;Collin;Macéo;6;MERCE;Coco
90;Daniel;Félix;7;AMAR;Yann
55;David;Lutécia;89;KEANE;Ashton
41;Dubois;Lamia;89;KEANE;Ashton
8;Dumont;Emma;6;MERCE;Coco
44;Dupont;Chaïma;89;KEANE;Ashton
31;Dupont;Macéo;6;MERCE;Coco
98;Dupuis;Carla;6;MERCE;Coco
38;Evrard;Paul;21;CHERET;Philippe
32;Fabre;Maelys;21;CHERET;Philippe
35;Fleury;Solene;7;AMAR;Yann
29;Fournier;Célia;7;AMAR;Yann
67;Francois;Tatiana;89;KEANE;Ashton
77;Garnier;Anaël;89;KEANE;Ashton
46;Gautier;Rose;6;MERCE;Coco
17;Girard;Kimberley;6;MERCE;Coco
64;Giraud;Kimberley;89;KEANE;Ashton
69;Gomez;Jérémy;89;KEANE;Ashton
22;Guillaume;Lena;7;AMAR;Yann
47;Guillot;Loevan;7;AMAR;Yann
33;Henry;Florentin;89;KEANE;Ashton
30;Hubert;Corentin;6;MERCE;Coco
27;Hubert;Marianne;89;KEANE;Ashton
40;Huet;Julien;89;KEANE;Ashton
58;Humbert;Élouan;7;AMAR;Yann
76;Joly;Eva;6;MERCE;Coco
63;Laurent;Quentin;6;MERCE;Coco
79;Le gall;Nathan;7;AMAR;Yann
25;Leclerc;Lauriane;89;KEANE;Ashton
4;Lefebvre;Élisa;7;AMAR;Yann
19;Lefebvre;Zoé;7;AMAR;Yann
48;Lefevre;Clémence;6;MERCE;Coco
39;Legrand;Romane;6;MERCE;Coco
6;Lemaire;Enzo;21;CHERET;Philippe
13;Lemoine;Yasmine;6;MERCE;Coco
70;Leroy;Benjamin;21;CHERET;Philippe
14;Lopez;Marion;21;CHERET;Philippe
62;Lucas;Laura;89;KEANE;Ashton
23;Maillard;Charlotte;89;KEANE;Ashton
89;Maillard;Constant;89;KEANE;Ashton
88;Maillard;Maelys;89;KEANE;Ashton
95;Maillard;Pauline;21;CHERET;Philippe
82;Marchal;Thomas;89;KEANE;Ashton
80;Martinez;Fanny;7;AMAR;Yann
78;Martinez;Lina;21;CHERET;Philippe
11;Masson;Aaron;21;CHERET;Philippe
68;Mercier;Constant;21;CHERET;Philippe
99;Meunier;Angelina;21;CHERET;Philippe
72;Meunier;Margaux;7;AMAR;Yann
18;Morin;Élise;21;CHERET;Philippe
75;Morin;Yüna;7;AMAR;Yann
3;Muller;Alexandre;6;MERCE;Coco
12;Nazdorovie;Sergueï;89;KEANE;Ashton
86;Paul;Marwane;89;KEANE;Ashton
7;Perez;Bienvenue;89;KEANE;Ashton
43;Perez;Florentin;7;AMAR;Yann
16;Philippe;Léonard;6;MERCE;Coco
100;Philippe;Maïwenn;6;MERCE;Coco
51;Pikatchien;Jessica;6;MERCE;Coco
26;Poirier;Paul;21;CHERET;Philippe
34;Pons;Léonard;6;MERCE;Coco
21;Remy;Dimitri;6;MERCE;Coco
74;Renaud;Anaël;89;KEANE;Ashton
96;Renaud;Rose;6;MERCE;Coco
20;Renault;Lilian;89;KEANE;Ashton
83;Rey;Alicia;6;MERCE;Coco
84;Rey;Jeanne;21;CHERET;Philippe
36;Richard;Rémi;6;MERCE;Coco
9;Riviere;Alice;7;AMAR;Yann
1;Riviere;Romain;6;MERCE;Coco
56;Robert;Agathe;21;CHERET;Philippe
61;Robert;Élise;89;KEANE;Ashton
97;Robert;Maelys;6;MERCE;Coco
57;Rodriguez;Macéo;7;AMAR;Yann
73;Roger;Thomas;89;KEANE;Ashton
71;Rolland;Ethan;6;MERCE;Coco
45;Schneider;Alice;21;CHERET;Philippe
53;Schneider;Florentin;7;AMAR;Yann
