Identifiant commande;Référence commande;Identifiant Client;Nom Client;Prénom Cient;Reduction commande
1;iuig;10;Boucher;Noë;3.05
2;idv;6;Lemaire;Enzo;4.00
3;icdcg;6;Lemaire;Enzo;2.00
4;ecvfg;78;Martinez;Lina;1.09
5;zfig;98;Dupuis;Carla;1.00
6;fggfg;50;Blanchard;Adam;2.00
7;fdqc;50;Blanchard;Adam;2.00
8;fddqc;65;Bailly;Julien;6.10
9;azaqc;100;Philippe;Maïwenn;2.00
10;fdrqc;1;Riviere;Romain;4.00
11;fvsfc;1;Riviere;Romain;6.00
12;fdvvec;2;Bailly;Lilou;2.50
13;czcze;5;Andre;Maëlle;3.50
14;rggtc;19;Lefebvre;Zoé;0.87
15;ffrc;14;Lopez;Marion;0.00
16;fdveavc;14;Lopez;Marion;0.50
17;fggavc;9;Riviere;Alice;1.50
18;azsdc;4;Lefebvre;Élisa;2.50
19;djdhf;26;Poirier;Paul;1.50
20;ljojjk;26;Poirier;Paul;2.50
21;fgege;44;Dupont;Chaïma;6.50
22;fbgddr;33;Henry;Florentin;0.50
23;gethhry;33;Henry;Florentin;2.30
24;fefrrv;9;Riviere;Alice;5.50
25;fczefv;9;Riviere;Alice;5.50
26;thyuju;91;Bon;Jean;0.50
27;ergzthy;66;Chevalier;Gaspard;1.50
28;iklu;37;Blanc;Sarah;5.50
29;fzfrgag;99;Meunier;Angelina;0.30
30;ikiuk;97;Robert;Maelys;0.90
